"group_code","group_name","isscaap","year","catch_mt"
"AFL","LDC Subsaharan Africa","Clams, cockles, arkshells",2013,2179.29321434947
"AFL","LDC Subsaharan Africa","Clams, cockles, arkshells",2014,2085.98554711252
"AFL","LDC Subsaharan Africa","Clams, cockles, arkshells",2015,2003.64552253874
"AFL","LDC Subsaharan Africa","Clams, cockles, arkshells",2016,1930.67137194742
"AFL","LDC Subsaharan Africa","Clams, cockles, arkshells",2017,1865.74488528623
"AFL","LDC Subsaharan Africa","Clams, cockles, arkshells",2018,1807.77064856804
"AFL","LDC Subsaharan Africa","Clams, cockles, arkshells",2019,1755.83722334439
"AFL","LDC Subsaharan Africa","Clams, cockles, arkshells",2020,1709.17663833
"AFL","LDC Subsaharan Africa","Clams, cockles, arkshells",2021,1667.13738381911
"AFL","LDC Subsaharan Africa","Clams, cockles, arkshells",2022,1629.16753319572
"AFL","LDC Subsaharan Africa","Clams, cockles, arkshells",2023,1594.7944887458
"AFL","LDC Subsaharan Africa","Clams, cockles, arkshells",2024,1563.6114788655
"AFL","LDC Subsaharan Africa","Clams, cockles, arkshells",2025,1535.26574311829
"AFL","LDC Subsaharan Africa","Clams, cockles, arkshells",2026,1509.45684438596
"AFL","LDC Subsaharan Africa","Clams, cockles, arkshells",2027,1485.91641468093
"AFL","LDC Subsaharan Africa","Clams, cockles, arkshells",2028,1464.41153084413
"AFL","LDC Subsaharan Africa","Clams, cockles, arkshells",2029,1444.73965099812
"AFL","LDC Subsaharan Africa","Clams, cockles, arkshells",2030,1426.72186315119
"AFL","LDC Subsaharan Africa","Cods, hakes, haddocks",2013,614.0547835768
"AFL","LDC Subsaharan Africa","Cods, hakes, haddocks",2014,628.299875843136
"AFL","LDC Subsaharan Africa","Cods, hakes, haddocks",2015,642.374188681016
"AFL","LDC Subsaharan Africa","Cods, hakes, haddocks",2016,656.265509651249
"AFL","LDC Subsaharan Africa","Cods, hakes, haddocks",2017,669.962122681578
"AFL","LDC Subsaharan Africa","Cods, hakes, haddocks",2018,683.45826910996
"AFL","LDC Subsaharan Africa","Cods, hakes, haddocks",2019,696.743424346182
"AFL","LDC Subsaharan Africa","Cods, hakes, haddocks",2020,709.813517577179
"AFL","LDC Subsaharan Africa","Cods, hakes, haddocks",2021,722.658719327845
"AFL","LDC Subsaharan Africa","Cods, hakes, haddocks",2022,735.276646634094
"AFL","LDC Subsaharan Africa","Cods, hakes, haddocks",2023,747.661044466946
"AFL","LDC Subsaharan Africa","Cods, hakes, haddocks",2024,759.806154164361
"AFL","LDC Subsaharan Africa","Cods, hakes, haddocks",2025,771.710784244294
"AFL","LDC Subsaharan Africa","Cods, hakes, haddocks",2026,783.36987115981
"AFL","LDC Subsaharan Africa","Cods, hakes, haddocks",2027,794.783414910909
"AFL","LDC Subsaharan Africa","Cods, hakes, haddocks",2028,805.949231281676
"AFL","LDC Subsaharan Africa","Cods, hakes, haddocks",2029,816.865632423133
"AFL","LDC Subsaharan Africa","Cods, hakes, haddocks",2030,827.532121968344
"AFL","LDC Subsaharan Africa","Crabs, sea-spiders",2013,20000.630398074
"AFL","LDC Subsaharan Africa","Crabs, sea-spiders",2014,20141.7649865689
"AFL","LDC Subsaharan Africa","Crabs, sea-spiders",2015,20589.3388933601
"AFL","LDC Subsaharan Africa","Crabs, sea-spiders",2016,20758.2246390367
"AFL","LDC Subsaharan Africa","Crabs, sea-spiders",2017,20921.8787661363
"AFL","LDC Subsaharan Africa","Crabs, sea-spiders",2018,21080.4135956905
"AFL","LDC Subsaharan Africa","Crabs, sea-spiders",2019,21233.9180169485
"AFL","LDC Subsaharan Africa","Crabs, sea-spiders",2020,21382.4935185488
"AFL","LDC Subsaharan Africa","Crabs, sea-spiders",2021,21845.4561462681
"AFL","LDC Subsaharan Africa","Crabs, sea-spiders",2022,21665.3313424129
"AFL","LDC Subsaharan Africa","Crabs, sea-spiders",2023,21799.7997628737
"AFL","LDC Subsaharan Africa","Crabs, sea-spiders",2024,21929.7965478935
"AFL","LDC Subsaharan Africa","Crabs, sea-spiders",2025,22055.4131426776
"AFL","LDC Subsaharan Africa","Crabs, sea-spiders",2026,22176.7771032662
"AFL","LDC Subsaharan Africa","Crabs, sea-spiders",2027,22293.995499151
"AFL","LDC Subsaharan Africa","Crabs, sea-spiders",2028,22407.1827414488
"AFL","LDC Subsaharan Africa","Crabs, sea-spiders",2029,22516.4290808811
"AFL","LDC Subsaharan Africa","Crabs, sea-spiders",2030,22856.9742495157
"AFL","LDC Subsaharan Africa","Flounders, halibuts, soles",2013,4121.73320177407
"AFL","LDC Subsaharan Africa","Flounders, halibuts, soles",2014,4263.87331747255
"AFL","LDC Subsaharan Africa","Flounders, halibuts, soles",2015,4370.73983373997
"AFL","LDC Subsaharan Africa","Flounders, halibuts, soles",2016,4516.22742386129
"AFL","LDC Subsaharan Africa","Flounders, halibuts, soles",2017,4598.88860020078
"AFL","LDC Subsaharan Africa","Flounders, halibuts, soles",2018,4737.47014849738
"AFL","LDC Subsaharan Africa","Flounders, halibuts, soles",2019,4906.17426415214
"AFL","LDC Subsaharan Africa","Flounders, halibuts, soles",2020,4989.30185742493
"AFL","LDC Subsaharan Africa","Flounders, halibuts, soles",2021,5087.91340343146
"AFL","LDC Subsaharan Africa","Flounders, halibuts, soles",2022,5145.21682320603
"AFL","LDC Subsaharan Africa","Flounders, halibuts, soles",2023,5336.88794073616
"AFL","LDC Subsaharan Africa","Flounders, halibuts, soles",2024,5470.47000315318
"AFL","LDC Subsaharan Africa","Flounders, halibuts, soles",2025,5638.95111551642
"AFL","LDC Subsaharan Africa","Flounders, halibuts, soles",2026,5786.60115596469
"AFL","LDC Subsaharan Africa","Flounders, halibuts, soles",2027,5883.77026078106
"AFL","LDC Subsaharan Africa","Flounders, halibuts, soles",2028,5983.43477836597
"AFL","LDC Subsaharan Africa","Flounders, halibuts, soles",2029,6062.79019822802
"AFL","LDC Subsaharan Africa","Flounders, halibuts, soles",2030,6150.02281270131
"AFL","LDC Subsaharan Africa","Herrings, sardines, anchovies",2013,715590.072655671
"AFL","LDC Subsaharan Africa","Herrings, sardines, anchovies",2014,680862.340665561
"AFL","LDC Subsaharan Africa","Herrings, sardines, anchovies",2015,670016.604104261
"AFL","LDC Subsaharan Africa","Herrings, sardines, anchovies",2016,661139.487133303
"AFL","LDC Subsaharan Africa","Herrings, sardines, anchovies",2017,653664.829601753
"AFL","LDC Subsaharan Africa","Herrings, sardines, anchovies",2018,646307.738998537
"AFL","LDC Subsaharan Africa","Herrings, sardines, anchovies",2019,639088.384033003
"AFL","LDC Subsaharan Africa","Herrings, sardines, anchovies",2020,632173.45398988
"AFL","LDC Subsaharan Africa","Herrings, sardines, anchovies",2021,626484.34420814
"AFL","LDC Subsaharan Africa","Herrings, sardines, anchovies",2022,624957.041660363
"AFL","LDC Subsaharan Africa","Herrings, sardines, anchovies",2023,629022.729390739
"AFL","LDC Subsaharan Africa","Herrings, sardines, anchovies",2024,625006.982574112
"AFL","LDC Subsaharan Africa","Herrings, sardines, anchovies",2025,616669.246267656
"AFL","LDC Subsaharan Africa","Herrings, sardines, anchovies",2026,612491.482941883
"AFL","LDC Subsaharan Africa","Herrings, sardines, anchovies",2027,605391.824876091
"AFL","LDC Subsaharan Africa","Herrings, sardines, anchovies",2028,601382.112359495
"AFL","LDC Subsaharan Africa","Herrings, sardines, anchovies",2029,595399.687256036
"AFL","LDC Subsaharan Africa","Herrings, sardines, anchovies",2030,591698.886800226
"AFL","LDC Subsaharan Africa","Lobsters, spiny-rock lobsters",2013,6079.0676384939
"AFL","LDC Subsaharan Africa","Lobsters, spiny-rock lobsters",2014,6267.08543538276
"AFL","LDC Subsaharan Africa","Lobsters, spiny-rock lobsters",2015,6458.43668538234
"AFL","LDC Subsaharan Africa","Lobsters, spiny-rock lobsters",2016,6676.79738827452
"AFL","LDC Subsaharan Africa","Lobsters, spiny-rock lobsters",2017,6860.6945229078
